"Bono","Moneda","Fecha_Vencimiento","Fecha_Licitacion","Cupo","Monto_Demandado","Monto_Asignado","Tasa_Corte","BTC"
"BTP0000921","CLP",2021-09-24,2021-03-18,330000,2963200,330000,0.24,8.97939393939394
"BTP0470930","CLP",2030-09-01,2021-03-18,130000,280000,130000,3.29,2.15384615384615
"BTU0190930","UF",2030-09-01,2021-03-18,4200,10730,4080,0.29,2.5547619047619
"BTU0001033","UF",2033-10-01,2021-03-25,4200,9120,4200,0.88,2.17142857142857
"BTU0300328","UF",2028-03-01,2021-03-25,4200,6140,4200,0.08,1.46190476190476
"BTP0001021","CLP",2021-10-22,2021-04-15,320000,1481000,320000,0.25,4.628125
"BTP0470930","CLP",2030-09-01,2021-04-15,120000,782000,120000,3.6,6.51666666666667
"BTU0190930","UF",2030-09-01,2021-04-15,4200,21340,4200,0.6,5.08095238095238
"BTU0001033","UF",2033-10-01,2021-04-22,4200,9650,4200,0.97,2.29761904761905
"BTU0300328","UF",2028-03-01,2021-04-22,4200,8570,3870,0.26,2.04047619047619
"BTP0001121","CLP",2021-11-19,2021-05-13,590000,776000,590000,0.5,1.31525423728814
"BTP0000921","CLP",2021-09-24,2021-05-27,260000,1260000,260000,0.25,4.84615384615385
"BTP0000322","CLP",2022-03-25,2021-06-17,590000,1970000,590000,0.84,3.33898305084746
"BTP0001021","CLP",2021-10-22,2021-06-24,270000,1127000,270000,0.7,4.17407407407407
"BTP0501028","CLP",2028-10-01,2021-06-30,NA,NA,1500000,4.6,NA
"BTP0000422","CLP",2022-04-15,2021-07-08,320000,1165000,320000,2.3,3.640625
"BTP0470930","CLP",2030-09-01,2021-07-08,140000,651800,140000,4.6,4.65571428571429
"BTU0001033","UF",2033-10-01,2021-07-08,3500,13330,3500,2.1,3.80857142857143
"BTP0000423","CLP",2023-04-21,2021-07-15,350000,919000,350000,2.1,2.62571428571429
"BTU0190930","UF",2030-09-01,2021-07-15,6000,22110,6000,1.19,3.685
"BTU0300328","UF",2028-03-01,2021-07-15,6000,17780,6000,1.1,2.96333333333333
"BTP0000523","CLP",2023-05-19,2021-08-11,350000,435000,350000,2.8,1.24285714285714
"BTP0470930","CLP",2030-09-01,2021-08-11,140000,343000,140000,4.8,2.45
"BTU0001033","UF",2033-10-01,2021-08-11,3500,9520,3500,2.02,2.72
"BTU0190930","UF",2030-09-01,2021-08-18,6000,12420,5970,1.54,2.07
"BTU0300328","UF",2028-03-01,2021-08-18,6000,13490,6000,1.29,2.24833333333333
"BTP0000622","CLP",2022-06-17,2021-09-09,590000,915000,590000,3.3,1.55084745762712
"BTP0000623","CLP",2023-06-16,2021-09-09,320000,535000,320000,4.15,1.671875
"BTU0001033","UF",2033-10-01,2021-09-09,3500,5870,3500,2.55,1.67714285714286
"BTP0000722","CLP",2022-07-22,2021-10-19,590000,1436000,590000,4.75,2.43389830508475
"BTP0470930","CLP",2030-09-01,2021-10-19,140000,254200,140000,6.48,1.81571428571429
"BTU0190930","UF",2030-09-01,2021-10-19,6000,17420,6000,3.19,2.90333333333333
"BTU0190930","UF",2030-09-01,2021-11-10,6000,22630,6000,1.98,3.77166666666667
"BTU0300328","UF",2028-03-01,2021-11-10,6000,12050,6000,2.11,2.00833333333333
"BTP0000723","CLP",2023-07-21,2021-11-16,590000,676000,590000,5.6,1.14576271186441
"BTP0470930","CLP",2030-09-01,2021-11-16,135000,246000,135000,5.94,1.82222222222222
"BTP0580624","CLP",2024-06-01,2021-12-09,NA,NA,1061000,5.7,NA
"BTP0000323","CLP",2023-03-15,2022-04-19,550000,1656000,550000,7.75,3.01090909090909
"BTP0600143","CLP",2043-01-01,2022-04-19,80000,144800,71800,6.65,1.81
"BTP0510750","CLP",2050-07-15,2022-04-19,120000,182400,119800,6.64,1.52
"BTU0001028","UF",2028-10-01,2022-04-19,5600,10610,5580,1.77,1.89464285714286
"BTU0001033","UF",2033-10-01,2022-04-19,8500,16930,8500,2.23,1.99176470588235
"BTU0210750","UF",2050-07-15,2022-04-19,5000,9320,5000,2.3,1.864
"BTP0000324","CLP",2024-03-13,2022-04-27,555000,1386400,553400,8.03,2.49801801801802
"BTP0600143","CLP",2043-01-01,2022-04-27,80000,196600,78600,6.55,2.4575
"BTU0001028","UF",2028-10-01,2022-04-27,5600,9500,5600,1.9,1.69642857142857
"BTP0470930","UF",2030-09-01,2022-04-27,3750,12070,3750,1.89,3.21866666666667
"BTU0210750","UF",2050-07-15,2022-04-27,5000,11690,5000,2.3,2.338
"BTP0000624","CLP",2024-06-19,2022-05-11,555000,1517800,555000,8.15,2.73477477477477
"BTU0001028","UF",2028-10-01,2022-05-11,5600,8510,5600,2.33,1.51964285714286
"BTP0470930","UF",2030-09-01,2022-05-11,3750,7860,3750,2.28,2.096
"BTU0001033","UF",2033-10-01,2022-05-11,8500,18170,8500,2.35,2.13764705882353
"BTU0210750","UF",2050-07-15,2022-05-11,5000,9920,4930,2.4,1.984
"BTP0000423","CLP",2023-04-21,2022-06-15,3e+05,717800,3e+05,9.85,2.39266666666667
"BTU0001028","UF",2028-10-01,2022-06-15,5600,11710,5600,2.2,2.09107142857143
"BTP0470930","UF",2030-09-01,2022-06-15,5000,14560,5000,2.14,2.912
"BTU0001033","UF",2033-10-01,2022-06-15,8500,14800,8500,2.3,1.74117647058824
"BTU0210750","UF",2050-07-15,2022-06-15,5200,11590,5200,2.35,2.22884615384615
