"Periodo","Total","Interna","Externa"
2009-01-01,7684.8,4775.9,2908.9
2009-04-01,8119.4,5633.3,2485.9
2009-07-01,9460.1,6979.2,2480.9
2009-10-01,11095.8,8565.6,2530.1
2010-01-01,12182.5,9685.4,2497.1
2010-04-01,13326.6,10848.1,2478.5
2010-07-01,18022,13939.3,4082.7
2010-10-01,20357.9,16262.4,4095.4
2011-01-01,21387.2,17330.4,4056.8
2011-04-01,23509.1,19468.1,4040.8
2011-07-01,24562.2,19286.8,5275.5
2011-10-01,25927.6,20647.2,5280.5
2012-01-01,27884.2,23235,4649.2
2012-04-01,28276.7,23663.6,4613
2012-07-01,30723.4,26059.2,4664.2
2012-10-01,32422.9,26288.5,6134.6
2013-01-01,31935.7,26652,5283.7
2013-04-01,31913.4,26699.9,5213.5
2013-07-01,33932.4,28741.9,5190.5
2013-10-01,33514.8,28355.1,5159.6
2014-01-01,32330.9,27244.2,5086.6
2014-04-01,34862.9,29758.3,5104.6
2014-07-01,32833.7,27836.2,4997.5
2014-10-01,36586.5,30042.2,6544.3
2015-01-01,34140.6,27768.9,6371.7
2015-04-01,38913,30992.7,7920.3
2015-07-01,37490.8,29627.4,7863.4
2015-10-01,38963.1,31185.9,7777.2
2016-01-01,42969.9,32837.9,10131.9
2016-04-01,50570.9,40391.2,10179.7
2016-07-01,52546.5,42218.9,10327.6
2016-10-01,53365.4,43284.6,10080.8
2017-01-01,54773,44639.8,10133.2
2017-04-01,61505.4,49091.6,12413.7
2017-07-01,64804.9,52090.3,12714.6
2017-10-01,68936.2,56128.7,12807.5
2018-01-01,71193.8,56073.8,15120
2018-04-01,68217.5,53549,14668.5
2018-07-01,71060.4,56374.7,14685.7
2018-10-01,70247.5,55703.2,14544.3
2019-01-01,73056,58679.5,14376.5
2019-04-01,77099.4,62122.6,14976.8
2019-07-01,74754.3,59096.3,15657.9
2019-10-01,74391.2,58575.6,15815.6
2020-01-01,70022,51082.5,18939.5
2020-04-01,78071.5,56974.1,21097.5
2020-07-01,82571,62176.5,20394.5
2020-10-01,91625.1,70417.1,21208.1
2021-01-01,92358.6,67393.3,24965.3
2021-04-01,97831.3,69174.1,28657.1
2021-07-01,102900.6,67143.6,35757
2021-10-01,102631.9,66524.5,36107.4
2022-01-01,113663.8,71743,41920.8
2022-04-01,107953.7,66911.7,41042.1
2022-07-01,105323.6,65077.8,40245.8
2022-10-01,116020.9,74853.5,41167.4
2023-01-01,123324.5,81895.2,41429.3
2023-04-01,126569.2,84817.2,41752
2023-07-01,119271.4,74976,44295.4
2023-10-01,125588.9,80617.3,44971.6
2024-01-01,121656,75345.5,46310.5
2024-04-01,128183.8,82014.7,46169.1
2024-07-01,141514.2,92962.5,48551.8
2024-10-01,130825.2,83134.6,47690.5
2025-01-01,139724.7,89974.3,49750.4
2025-04-01,148279.6,97283,50996.6
2025-07-01,149182.1,96719.5,52462.7
2025-10-01,154979.5,102010.9,52968.6
2026-01-01,158215.1,103078.2,55136.9
