"Periodo","PIB"
2013-01-01,33443
2013-04-01,33911
2013-07-01,32986
2013-10-01,36969
2014-01-01,36033
2014-04-01,36556
2014-07-01,35390
2014-10-01,39973
2015-01-01,39273
2015-04-01,39194
2015-07-01,37973
2015-10-01,42182
2016-01-01,42096
2016-04-01,41215
2016-07-01,40591
2016-10-01,44862
2017-01-01,43580
2017-04-01,43880
2017-07-01,43578
2017-10-01,48277
2018-01-01,47046
2018-04-01,46993
2018-07-01,45024
2018-10-01,50371
2019-01-01,48590
2019-04-01,48591
2019-07-01,47343
2019-10-01,51025
2020-01-01,51191
2020-04-01,46171
2020-07-01,47398
2020-10-01,56547
2021-01-01,56150
2021-04-01,57037
2021-07-01,59138
2021-10-01,67231
2022-01-01,63770
2022-04-01,63481
2022-07-01,63962
2022-10-01,71742
2023-01-01,70236
2023-04-01,68964
2023-07-01,67633
2023-10-01,75264
2024-01-01,76700
2024-04-01,74886
2024-07-01,74738
2024-10-01,84357
2025-01-01,81964
2025-04-01,82873
2025-07-01,82693
2025-10-01,92448
2026-01-01,88651
