"Anio","PIB"
1960,4211103676.74027
1961,4948564550.91046
1962,5765971144.47142
1963,5702520146.03167
1964,6065708668.32735
1965,6183988944.34606
1966,7256882086.19585
1967,7145068067.64138
1968,7286820526.02462
1969,8456519044.38223
1970,9261006540.15907
1971,10999807567.1235
1972,12057501634.979
1973,17237336172.7878
1974,16584311220.1384
1975,7812161793.11971
1976,10523479088.8075
1977,14272711436.7475
1978,16373093553.7155
1979,22249574627.6911
1980,29586676576.0951
1981,35180322211.2903
1982,19710229067.2864
1983,20629678694.0684
1984,19974595028.1582
1985,17933557359.8036
1986,19197818084.6757
1987,22605488850.8981
1988,26174858613.8456
1989,30101767991.1135
1990,33428580448.2715
1991,38232330917.2011
1992,46538895685.8088
1993,49934943320.8828
1994,57438273591.0521
1995,73820425701.6603
1996,78584098983.6374
1997,85741415285.165
1998,81990010704.0602
1999,75578685735.5219
2000,78339750721.364
2001,71574739561.4329
2002,70264045939.2773
2003,76492579644.0605
2004,99075985773.6682
2005,122294145163.192
2006,153843518170.864
2007,172491076033.863
2008,179894594475.405
2009,171777900623.892
2010,217051209238.534
2011,251382573893.87
2012,267024782486.855
2013,277395018842.417
2014,259560978224.359
2015,242450355830.884
2016,249344863928.438
2017,276154259981.097
2018,295857562991.709
2019,278308438545.118
2020,254103710483.324
2021,315507493783.262
2022,301099244104.003
2023,335802745366.38
2024,329260633698.726
2025,357371159574.862
