"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"CLP",2021-09-24,2021-03-18,330000,0.24,"CP"
"CLP",2030-09-01,2021-03-18,130000,3.29,"LP"
"UF",2030-09-01,2021-03-18,4.08,0.29,"LP"
"UF",2033-10-01,2021-03-25,4.2,0.88,"LP"
"UF",2028-03-01,2021-03-25,4.2,0.08,"LP"
"CLP",2021-10-22,2021-04-15,320000,0.25,"CP"
"CLP",2030-09-01,2021-04-15,120000,3.6,"LP"
"UF",2030-09-01,2021-04-15,4.2,0.6,"LP"
"UF",2033-10-01,2021-04-22,4.2,0.97,"LP"
"UF",2028-03-01,2021-04-22,3.87,0.26,"LP"
"CLP",2021-11-19,2021-05-13,590000,0.5,"CP"
"CLP",2021-09-24,2021-05-27,260000,0.25,"CP"
"CLP",2022-03-25,2021-06-17,590000,0.84,"LP"
"CLP",2021-10-22,2021-06-24,270000,0.7,"CP"
"CLP",2028-10-01,2021-06-30,1500000,4.6,"LP"
"CLP",2022-04-15,2021-07-08,320000,2.3,"CP"
"CLP",2030-09-01,2021-07-08,140000,4.6,"LP"
"UF",2033-10-01,2021-07-08,3.5,2.1,"LP"
"CLP",2023-04-21,2021-07-15,350000,2.1,"LP"
"UF",2030-09-01,2021-07-15,6,1.19,"LP"
"UF",2028-03-01,2021-07-15,6,1.1,"LP"
"CLP",2023-05-19,2021-08-11,350000,2.8,"LP"
"CLP",2030-09-01,2021-08-11,140000,4.8,"LP"
"UF",2033-10-01,2021-08-11,3.5,2.02,"LP"
"UF",2030-09-01,2021-08-18,5.97,1.54,"LP"
"UF",2028-03-01,2021-08-18,6,1.29,"LP"
"CLP",2022-06-17,2021-09-09,590000,3.3,"LP"
"CLP",2023-06-16,2021-09-09,320000,4.15,"LP"
"UF",2033-10-01,2021-09-09,3.5,2.55,"LP"
"CLP",2022-07-22,2021-10-19,590000,4.75,"LP"
"CLP",2030-09-01,2021-10-19,140000,6.48,"LP"
"UF",2030-09-01,2021-10-19,6,3.19,"LP"
"UF",2030-09-01,2021-11-10,6,1.98,"LP"
"UF",2028-03-01,2021-11-10,6,2.11,"LP"
"CLP",2023-07-21,2021-11-16,590000,5.6,"LP"
"CLP",2030-09-01,2021-11-16,135000,5.94,"LP"
"CLP",2024-06-01,2021-12-09,1061000,5.7,"LP"
"CLP",2023-03-15,2022-04-19,550000,7.75,"CP"
"CLP",2043-01-01,2022-04-19,71800,6.65,"LP"
"CLP",2050-07-15,2022-04-19,119800,6.64,"LP"
"UF",2028-10-01,2022-04-19,5.58,1.77,"LP"
