"Year","Principal","Interest"
2026,7.55e+12,847299240000
2027,7.871675e+12,2142003465000
2028,2.892435e+12,2110776990000
2029,7.491205e+12,1988198985000
2030,4.57578e+12,1807546675000
2031,0,1592485015000
2032,1.97254e+12,1592423515000
2033,6.839445e+12,1288088095000
2034,2.56645e+12,1054703605000
2035,4.9182e+12,801691105000
2036,0,678736105000
2037,1.96841e+12,678736105000
2038,0,574410375000
2039,0,574410375000
2040,2.02198e+12,574410375000
2041,0,449047615000
2042,0,449047615000
2043,3.39797e+12,347108515000
2044,0,245169415000
2045,0,245169415000
2046,0,245169415000
2047,0,245169415000
2048,0,245169415000
2049,0,245169415000
2050,2.720565e+12,245169415000
2051,0,106420600000
2052,0,106420600000
2053,0,106420600000
2054,0,106420600000
2055,0,106420600000
2056,1.7446e+12,53210300000
