"Year","Principal","Interest"
2026,0,458160073.25
2027,2643200000,1619454564.7776
2028,1793691000,1568628570.5776
2029,3458967532,1498345776.3776
2030,1455922360,1441079343.6768
2031,6379240176,1377340556.9268
2032,5158240000,1232349815.966
2033,2.25e+09,1082471315.966
2034,2844048808,998846315.966
2035,1613581072,917154302.636
2036,4222050000,815004434.4
2037,1.6e+09,651375946.9
2038,0,606175946.9
2039,0,606175946.9
2040,1450743664,606175946.9
2041,2.7e+09,546191651.1
2042,2330062000,460941651.1
2043,0,405576903.6
2044,0,405576903.6
2045,0,405576903.6
2046,0,405576903.6
2047,1051796000,385277240.8
2048,0,364977578
2049,0,364977578
2050,2318360000,324406278
2051,1.429e+09,283834978
2052,1e+09,245972478
2053,1.5e+09,199722478
2054,1481660000,133986239
2055,0,94500000
2056,0,94500000
2057,0,94500000
2058,0,94500000
2059,0,94500000
2060,0,94500000
2061,2e+09,63500000
2062,0,32500000
2063,0,32500000
2064,0,32500000
2065,0,32500000
2066,0,32500000
2067,0,32500000
2068,0,32500000
2069,0,32500000
2070,0,32500000
2071,1e+09,32500000
