"Periodo","Deuda_Interna","Deuda_Externa","Deuda_Total"
2001-06-30,35573151.0131951,37503877.554,73077028.5671951
2001-07-31,35978082.9200414,37925408.0244,73903490.9444414
2001-08-31,37271252,39355635.46,76626887.46
2001-09-30,37913586.9020996,40240996.38797,78154583.2900696
2001-10-31,39197352.3726172,39716115.5777796,78913467.9503968
2001-11-30,40466912.2221056,40313473.4891612,80780385.7112667
2001-12-31,44235677.4896043,41742137.3175568,85977814.8071612
2002-01-31,44743163,40909443.66,85652606.66
2002-02-28,47124952.1094542,41662513.7468084,88787465.8562626
2002-03-31,47080813.1426192,40377232.2707918,87458045.413411
2002-04-30,47515437.0926675,40796325.503294,88311762.5959615
2002-05-31,50152046.057377,40677530.0253691,90829576.0827461
2002-06-30,50930450.5232608,41784906.4144008,92715356.9376616
2002-07-31,51029746.4088802,46622671.3767389,97652417.7856191
2002-08-31,51184494.8209113,48187963.4420756,99372458.2629869
2002-09-30,51113367.3188327,50483958.8665882,101597326.185421
2002-10-31,51234718.3395576,49008610.1688684,100243328.508426
2002-11-30,51558451.5174641,48962459.7962042,100520911.313668
2002-12-31,53401028.3881269,51577033.9837094,104978062.371836
2003-01-31,54107940.3862587,55338476.1444822,109446416.530741
2003-02-28,53287760.0980624,55657339.2577107,108945099.355773
2003-03-31,55633774.3638296,55642669.3738081,111276443.737638
2003-04-30,56448742.5258438,57244026.1410822,113692768.666926
2003-05-31,57306846.3640996,56677472.8110953,113984319.175195
2003-06-30,57399640.5544558,53664965.3073499,111064605.861806
2003-07-31,58053385.1394307,54782295.5779307,112835680.717361
2003-08-31,58165183.1003114,54703139.1312154,112868322.231527
2003-09-30,58787045.5919953,57148920.6149522,115935966.206947
2003-10-31,59031765.2597796,57473243.9674868,116505009.227266
2003-11-30,60130121.5378578,57484833.4500791,117614954.987937
2003-12-31,60949781.7870394,56810879.610835,117760661.397874
2004-01-31,61673052.3024878,57172994.5511583,118846046.853646
2004-02-29,63061928.8687101,55781080.2045824,118843009.073293
2004-03-31,65169269.7769815,55059715.9003093,120228985.677291
2004-04-30,65390744.9225568,54369582.9688556,119760327.891412
2004-05-31,64772864.6771308,56112731.7368088,120885596.41394
2004-06-30,64037763.9387439,56158872.611949,120196636.550693
2004-07-31,65714665.1799742,54155372.5669983,119870037.746972
2004-08-31,66967231.0667245,53033058.5729017,120000289.639626
2004-09-30,67591890.6765431,55143120.8460113,122735011.522554
2004-10-31,68362149.2027022,55195478.3165896,123557627.519292
2004-11-30,67885101.6446754,54676330.9749761,122561432.619651
2004-12-31,68632099.4282022,53355003.4022114,121987102.830414
2005-01-31,71664442.4580412,52655034.9641255,124319477.422167
2005-02-28,73547879.6520862,52522543.207444,126070422.85953
2005-03-31,75209161.5107638,53256922.5493468,128466084.060111
2005-04-30,78715542.2783774,49439938.8707391,128155481.149116
2005-05-31,78699681.0941995,49250193.677557,127949874.771756
2005-06-30,80210987.1620459,47631539.7982798,127842526.960326
2005-07-31,81662761.044909,48355990.9500057,130018751.994915
2005-08-31,82361674.3494272,48949286.3995238,131310960.748951
2005-09-30,82265112.3607572,46922700.9356142,129187813.296371
2005-10-31,85102305.6962749,46261504.714495,131363810.41077
2005-11-30,86420571.9612261,45845348.8706264,132265920.831853
2005-12-31,88455668.2773521,47625679.8419417,136081348.119294
2006-01-31,89922352.4012095,47204990.3812697,137127342.782479
2006-02-28,92527429.223105,46849595.466057,139377024.689162
2006-03-31,94792069.1510716,46006732.7305934,140798801.881665
2006-04-30,92337196.7418487,47728982.7218729,140066179.463722
2006-05-31,92790376.4533969,49817594.3522734,142607970.80567
2006-06-30,95349235.5820013,51505701.1455034,146854936.727505
2006-07-31,92907582.6056755,50046206.271807,142953788.877482
2006-08-31,94892849.4171979,50562853.2574104,145455702.674608
2006-09-30,92603065.4008611,52473750.5503753,145076815.951236
2006-10-31,93352074.4415077,51382563.4691799,144734637.910688
2006-11-30,93849113.9017329,52542515.5609414,146391629.462674
2006-12-31,94398595.8220577,52613000.8336159,147011596.655674
2007-01-31,95889138.4215256,52802085.7853403,148691224.206866
2007-02-28,97689127.118762,51142739.5572122,148831866.675974
2007-03-31,94334998.7425928,49512699.8554041,143847698.597997
2007-04-30,96525054.1770184,48683409.8526041,145208464.029622
2007-05-01,99055793.6793386,44881365.7850099,143937159.464348
2007-06-01,100814612.809501,46103605.056092,146918217.865593
