"Entidad","Periodo","Valor"
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-01-01",558247.16038535
"Banco de la Republica","2010-01-01",3130359.93861296
"Bancos Comerciales","2010-01-01",22237736.559848
"Carteras Colectivas y Fondos Administrados","2010-01-01",2192813.53417367
"Comisionistas de Bolsa","2010-01-01",474221.222161133
"Compañias de Financiamiento Comercial","2010-01-01",274231.268
"Compañias de Seguros y Capitalizacion","2010-01-01",8120726.06889635
"Cooperativas Grado Super. Caracter Finan","2010-01-01",36794.492
"Corporaciones Financieras","2010-01-01",1105210.71189387
"Entidades Publicas","2010-01-01",10702499.2533704
"Entidades sin Animo de Lucro","2010-01-01",201192.2301712
"Fiducia Publica","2010-01-01",21778387.0253391
"Fondos de Capital Extranjero","2010-01-01",1138472.4998744
"Fondos de Pensiones y Cesantias","2010-01-01",27789699.4601534
"Fondos de Prima Media","2010-01-01",2957641.92986567
"Instituciones Oficiales Especiales","2010-01-01",8214271.36774183
"Ministerio de Hacienda y CP","2010-01-01",3145619.3772
"Otros Fondos","2010-01-01",39691.4936096
"Personas Juridicas","2010-01-01",1473649.70991888
"Personas Naturales","2010-01-01",549838.77731768
"Proveedores de Infraestructura","2010-01-01",1085882.0361312
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-02-01",478369.07744935
"Banco de la Republica","2010-02-01",2778934.92030636
"Bancos Comerciales","2010-02-01",21827598.4710555
"Carteras Colectivas y Fondos Administrados","2010-02-01",2054299.0014661
"Comisionistas de Bolsa","2010-02-01",433026.426062559
"Compañias de Financiamiento Comercial","2010-02-01",250990.046
"Compañias de Seguros y Capitalizacion","2010-02-01",8215329.46027445
"Cooperativas Grado Super. Caracter Finan","2010-02-01",40320.585
"Corporaciones Financieras","2010-02-01",1082646.19125714
"Entidades Publicas","2010-02-01",10915069.9390286
"Entidades sin Animo de Lucro","2010-02-01",208124.0864252
"Fiducia Publica","2010-02-01",21620999.0016629
"Fondos de Capital Extranjero","2010-02-01",1162043.3110546
"Fondos de Pensiones y Cesantias","2010-02-01",28365199.452685
"Fondos de Prima Media","2010-02-01",2980616.46804247
"Instituciones Oficiales Especiales","2010-02-01",8367343.18093204
"Ministerio de Hacienda y CP","2010-02-01",3615263.6248
"Otros Fondos","2010-02-01",39176.6264138
"Personas Juridicas","2010-02-01",1298556.03450391
"Personas Naturales","2010-02-01",547169.16545502
"Proveedores de Infraestructura","2010-02-01",826286.5073684
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-03-01",529365.87944935
"Banco de la Republica","2010-03-01",2427394.10233836
"Bancos Comerciales","2010-03-01",23765466.4969146
"Carteras Colectivas y Fondos Administrados","2010-03-01",2114128.98994045
"Comisionistas de Bolsa","2010-03-01",968871.884593847
"Compañias de Financiamiento Comercial","2010-03-01",253435.48
"Compañias de Seguros y Capitalizacion","2010-03-01",8384060.17480853
"Cooperativas Grado Super. Caracter Finan","2010-03-01",43240.0665
"Corporaciones Financieras","2010-03-01",1150926.98995366
"Entidades Publicas","2010-03-01",10650503.5803988
"Entidades sin Animo de Lucro","2010-03-01",200337.1216152
"Fiducia Publica","2010-03-01",21509129.35526
"Fondos de Capital Extranjero","2010-03-01",1042424.9651506
"Fondos de Pensiones y Cesantias","2010-03-01",29609583.2475912
"Fondos de Prima Media","2010-03-01",2981619.17130647
"Instituciones Oficiales Especiales","2010-03-01",8573907.97085892
"Ministerio de Hacienda y CP","2010-03-01",2570451.2248
"Otros Fondos","2010-03-01",38619.3664132
"Personas Juridicas","2010-03-01",1693784.30068702
"Personas Naturales","2010-03-01",509536.40011202
"Proveedores de Infraestructura","2010-03-01",828038.1323042
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-04-01",521204.63023335
"Banco de la Republica","2010-04-01",1381994.99617746
"Bancos Comerciales","2010-04-01",25486945.1210564
"Carteras Colectivas y Fondos Administrados","2010-04-01",1994278.36330078
"Comisionistas de Bolsa","2010-04-01",1026264.2983432
