"Fecha_Subasta","Fecha_Vencimiento","Moneda","Tasa_Corte","Monto","Tipo_Operacion","Tenor","Duracion"
2009-01-02,2009-03-26,"COP",9.75,59999.955182,"SUBASTA","CP",0.227397260273973
2009-01-02,2009-06-18,"COP",9.79,49999.993476,"SUBASTA","CP",0.457534246575343
2009-01-02,2009-12-03,"COP",9.95,39999.92187,"SUBASTA","CP",0.917808219178082
2009-01-08,2009-04-23,"COP",9.39,59999.995994,"SUBASTA","CP",0.287671232876712
2009-01-08,2009-07-16,"COP",9.54,49999.955778,"SUBASTA","CP",0.517808219178082
2009-01-08,2009-12-24,"COP",9.65,39999.926148,"SUBASTA","CP",0.958904109589041
2009-01-14,2011-05-18,"COP",9.189,149999.92026,"SUBASTA","LP",2.0588103812055
2009-01-14,2013-11-14,"COP",9.278,149999.966888,"SUBASTA","LP",4.00238875368333
2009-01-14,2018-10-24,"COP",9.8,99999.8223,"SUBASTA","LP",6.41013966922225
2009-01-15,2009-04-23,"COP",9.3,59999.808654,"SUBASTA","CP",0.268493150684932
2009-01-15,2009-07-16,"COP",9.4,49999.748814,"SUBASTA","CP",0.498630136986301
2009-01-15,2009-12-24,"COP",9.489,39999.951712,"SUBASTA","CP",0.93972602739726
2009-01-21,2013-03-20,"UVR",4.5,125642.719436364,"SUBASTA","LP",3.69302314016648
2009-01-21,2023-02-23,"UVR",4.8,125642.7529776,"SUBASTA","LP",10.1347085664827
2009-01-22,2009-04-23,"COP",9.29,59999.78392,"SUBASTA","CP",0.249315068493151
2009-01-22,2009-07-16,"COP",9.34,49999.938639,"SUBASTA","CP",0.479452054794521
2009-01-22,2009-12-24,"COP",9.41,39999.7386,"SUBASTA","CP",0.920547945205479
2009-01-26,2011-05-18,"COP",9.275,149355.739696,"NO COMPETITIVA","LP",2.02562277165373
2009-01-26,2013-11-14,"COP",9.389,120979.881367,"NO COMPETITIVA","LP",3.96760829942272
2009-01-26,2018-10-24,"COP",NA,0,"NO COMPETITIVA","LP",7.36011281224819
2009-01-28,2012-08-15,"COP",9.19,199999.695652,"SUBASTA","LP",3.06576528185185
2009-01-28,2013-11-14,"COP",9.26,124999.965288,"SUBASTA","LP",3.96434115068447
2009-01-28,2018-10-24,"COP",9.8,124999.8956,"SUBASTA","LP",6.37178350483869
2009-01-29,2009-04-23,"COP",9.147,59999.959242,"SUBASTA","CP",0.23013698630137
2009-01-29,2009-07-16,"COP",9.24,49999.962598,"SUBASTA","CP",0.46027397260274
2009-01-29,2009-12-24,"COP",9.15,39999.887316,"SUBASTA","CP",0.901369863013699
2009-02-02,2013-03-20,"UVR",4.54,50968.2737943325,"NO COMPETITIVA","LP",3.65968664954374
2009-02-02,2023-02-23,"UVR",4.802,73911.5252129247,"NO COMPETITIVA","LP",10.101361881604
2009-02-05,2009-05-21,"COP",8.95,59999.811156,"SUBASTA","CP",0.287671232876712
2009-02-05,2009-08-13,"COP",9.07,49999.93596,"SUBASTA","CP",0.517808219178082
2009-02-05,2010-01-28,"COP",8.99,39999.968725,"SUBASTA","CP",0.978082191780822
2009-02-11,2012-08-15,"COP",9.29,99999.846248,"SUBASTA","LP",3.02657383402787
2009-02-11,2014-05-14,"COP",9.26,99999.82584,"SUBASTA","LP",4.11632863462228
2009-02-11,2018-10-24,"COP",10.15,99999.859747,"SUBASTA","LP",6.29697809322471
2009-02-12,2009-05-21,"COP",9.09,59999.85838,"SUBASTA","CP",0.268493150684932
