"Periodo","Total","Interna","Externa"
2000-01-01,1029.4,268.9,760.5
2000-02-01,1017.4,282.7,734.8
2000-03-01,996.5,261.9,734.6
2000-04-01,1002.2,268.4,733.8
2000-05-01,1023.9,281.1,742.9
2000-06-01,1069.6,315.6,754
2000-07-01,998.9,303.8,695.1
2000-08-01,993.8,305.3,688.5
2000-09-01,1030.6,318.4,712.3
2000-10-01,1077.6,354.2,723.4
2000-11-01,1097.2,397.7,699.5
2000-12-01,1183.7,474.3,709.4
2001-01-01,1114.49,377.61,736.88
2001-02-01,1115.78,386.08,729.7
2001-03-01,1130.23,381.86,748.37
2001-04-01,1105.87,373.28,732.59
2001-05-01,1085.05,382.45,702.6
2001-06-01,1101.23,413.6,687.63
2001-07-01,1111.55,427.51,684.04
2001-08-01,1130.49,432.11,698.38
2001-09-01,1146.5,430.98,715.52
2001-10-01,1152.79,467.91,684.88
2001-11-01,1141.84,459.95,681.9
2001-12-01,1187.08,501.73,685.35
2002-01-01,1205.43,499.75,705.68
2002-02-01,1232.54,530.12,702.41
2002-03-01,1232.31,544.57,687.74
2002-04-01,1264.81,570.28,694.54
2002-05-01,1282.71,579.16,703.55
2002-06-01,1295.06,572.56,722.5
2002-07-01,1312.58,610.01,702.57
2002-08-01,1309.6,601.64,707.96
2002-09-01,1352.27,611,741.27
2002-10-01,1317.37,590.78,726.59
2002-11-01,1345.95,613.98,731.97
2002-12-01,1436.49,670.01,766.48
2003-01-01,1438.56,609.51,829.04
2003-02-01,1419.94,588.23,831.71
2003-03-01,1405.25,578.86,826.4
2003-04-01,1325.54,544.46,781.09
2003-05-01,1362.72,586.99,775.73
2003-06-01,1375.64,591.13,784.51
2003-07-01,1429.7,652.21,777.48
2003-08-01,1456,650.61,805.39
2003-09-01,1435.77,628.65,807.12
2003-10-01,1451.6,631.67,819.94
2003-11-01,1505.46,669.03,836.43
2003-12-01,1585.25,745.57,839.67
2004-01-01,1602.74,731.35,871.39
2004-02-01,1605.38,735,870.38
2004-03-01,1606.87,739.89,866.98
2004-04-01,1612.52,730.19,882.33
2004-05-01,1567.37,694.91,872.46
2004-06-01,1622.23,730.03,892.2
2004-07-01,1621.08,755.25,865.83
2004-08-01,1594.88,730.42,864.47
2004-09-01,1582.35,719.98,862.37
2004-10-01,1632.86,778.3,854.55
2004-11-01,1595.34,758.55,836.78
2004-12-01,1624.93,774.19,850.75
2005-01-01,1618.61,745.9,872.71
2005-02-01,1649.37,801.72,847.64
2005-03-01,1591.64,740.74,850.89
2005-04-01,1553.9,738.82,815.08
2005-05-01,1528.12,744.56,783.56
2005-06-01,1553.47,781.31,772.16
2005-07-01,1514.71,757.13,757.58
2005-08-01,1531.94,771.25,760.7
2005-09-01,1524.85,770.57,754.27
2005-10-01,1534.94,781.61,753.33
2005-11-01,1518.94,789.06,729.88
2005-12-01,1563.72,824.62,739.1
2006-01-01,1603.82,859.29,744.52
2006-02-01,1598.63,895.5,703.13
2006-03-01,1686.75,971.59,715.16
2006-04-01,1651.98,942.35,709.63
2006-05-01,1647.82,923.21,724.61
2006-06-01,1647.03,921.81,725.22
2006-07-01,1651.39,950.22,701.16
2006-08-01,1646.19,935.63,710.56
2006-09-01,1630.07,927.66,702.41
2006-10-01,1602.4,1009.64,592.76
2006-11-01,1649.89,1080.22,569.68
2006-12-01,1680.04,1154.68,525.36
2007-01-01,1723.42,1145.64,577.78
2007-02-01,1728.54,1157.92,570.62
2007-03-01,1728.59,1200.28,528.31
2007-04-01,1690.87,1164.7,526.18
2007-05-01,1695.15,1202.93,492.22
2007-06-01,1694.64,1224.74,469.9
2007-07-01,1694.19,1231.29,462.9
2007-08-01,1707.98,1256.71,451.26
2007-09-01,1690.06,1255.06,435
2007-10-01,1686.85,1282.67,404.18
2007-11-01,1679,1291,388
2007-12-01,1666.81,1289.72,377.09
2008-01-01,1762.64,1327.78,434.87
2008-02-01,1782.9,1374.94,407.96
2008-03-01,1761.29,1384.44,376.85
2008-04-01,1728.38,1342.38,386
2008-05-01,1733.75,1374.92,358.83
2008-06-01,1647.57,1308.05,339.52
2008-07-01,1677.71,1360.99,316.72
2008-08-01,1658.79,1348.31,310.48
2008-09-01,1606.75,1284.24,322.51
2008-10-01,1593.63,1279.85,313.78
2008-11-01,1615.07,1280.12,334.94
2008-12-01,2185.18,1784.75,400.43
2009-01-01,3137.79,1951.91,1185.88
2009-02-01,3166.46,1907.38,1259.08
2009-03-01,3197.88,2021.2,1176.68
2009-04-01,3087.95,1943.12,1144.84
2009-05-01,3039.72,1940.21,1099.51
2009-06-01,3040.58,1936.75,1103.83
2009-07-01,3098.65,1991.77,1106.88
2009-08-01,3147.87,2023.29,1124.58
2009-09-01,3208.83,2013.36,1195.47
2009-10-01,3291.25,2121.17,1170.08
2009-11-01,3296.55,2142.94,1153.61
2009-12-01,3355.55,2140.91,1214.64
2010-01-01,3380.29,2137.31,1242.98
2010-02-01,3344.39,2126.22,1218.17
2010-03-01,3372.45,2193.29,1179.16
2010-04-01,3361.13,2184.34,1176.79
2010-05-01,3451.61,2219.63,1231.98
2010-06-01,3506.72,2281.26,1225.46
2010-07-01,3585.93,2342.02,1243.91
2010-08-01,3638.3,2331.48,1306.82
2010-09-01,3666.51,2395.75,1270.76
2010-10-01,3722.37,2464.03,1258.34
2010-11-01,3674.82,2407.1,1267.72
2010-12-01,3812.55,2458.58,1353.98
2011-01-01,3719.68,2428.84,1290.85
2011-02-01,3755.13,2432.15,1322.97
2011-03-01,3751.23,2445.94,1305.29
2011-04-01,3764.09,2495.18,1268.91
2011-05-01,3845.86,2608.82,1237.04
2011-06-01,3886.78,2615.32,1271.46
2011-07-01,3988.86,2677.85,1311.01
2011-08-01,4104.9,2715.72,1389.18
2011-09-01,4276.92,2726.63,1550.28
2011-10-01,4271.09,2768.41,1502.68
2011-11-01,4310.72,2756.7,1554.02
2011-12-01,4436.87,2822.24,1614.63
2012-01-01,4459.58,2925.42,1534.15
2012-02-01,4411.78,2905.5,1506.28
2012-03-01,4417.53,2898.7,1518.82
2012-04-01,4489.12,2925.9,1563.23
2012-05-01,4630.68,2945.55,1685.13
2012-06-01,4713.62,3101.45,1612.17
2012-07-01,4827.28,3206.98,1620.3
2012-08-01,4799.95,3193.74,1606.21
2012-09-01,4850.03,3300.4,1549.63
2012-10-01,4810.31,3227.1,1583.21
2012-11-01,4881.72,3297.87,1583.86
2012-12-01,5015.95,3428.11,1587.84
2013-01-01,5060.01,3459.27,1600.74
2013-02-01,5040.94,3444.69,1596.25
2013-03-01,5116.3,3582.85,1533.46
2013-04-01,5232.18,3703.08,1529.09
2013-05-01,5138.49,3554.19,1584.29
2013-06-01,5045.41,3448.07,1597.34
2013-07-01,5068.01,3451.21,1616.8
2013-08-01,5109.33,3419.04,1690.3
2013-09-01,5232.64,3558.76,1673.88
2013-10-01,5223.56,3538.89,1684.67
2013-11-01,5316.5,3591.12,1725.38
2013-12-01,5318.02,3586.18,1731.85
2014-01-01,5446.39,3595.54,1850.85
2014-02-01,5526.88,3708.36,1818.53
2014-03-01,5627.74,3800.89,1826.85
2014-04-01,5596.8,3703.29,1893.51
2014-05-01,5674.7,3812.18,1862.51
2014-06-01,5854.7,3975.56,1879.13
2014-07-01,5933.08,4008.69,1924.4
2014-08-01,5947.19,4050.04,1897.15
2014-09-01,5943.33,4019.58,1923.75
2014-10-01,6067.15,4086.48,1980.67
2014-11-01,6238.31,4191.52,2046.78
2014-12-01,6490.74,4331.08,2159.66
2015-01-01,6759.16,4431.55,2327.61
2015-02-01,6754.42,4437.78,2316.64
2015-03-01,6764.7,4346.34,2418.35
2015-04-01,6754.08,4267.39,2486.7
2015-05-01,6855.42,4387.48,2467.95
2015-06-01,6943.68,4435.7,2507.98
2015-07-01,7069.42,4501.15,2568.27
2015-08-01,7253.36,4570.46,2682.9
2015-09-01,7299.17,4613.13,2686.04
2015-10-01,7329.12,4676.64,2652.48
2015-11-01,7302.01,4646.35,2655.66
2015-12-01,7454.39,4665.27,2789.12
2016-01-01,7798.81,4816.9,2981.91
2016-02-01,7790.88,4712.22,3078.65
2016-03-01,7735.02,4728.59,3006.43
2016-04-01,7618.68,4625.45,2993.23
2016-05-01,7812.66,4632.37,3180.29
2016-06-01,7957.45,4670.23,3287.22
2016-07-01,8029.67,4670.33,3359.33
2016-08-01,8245.23,4840.11,3405.12
2016-09-01,8387.18,4877.75,3509.44
2016-10-01,8220.69,4880.03,3340.65
2016-11-01,8380.6,4783.04,3597.55
2016-12-01,8610.83,4913.26,3697.56
2017-01-01,8785.78,5022.59,3763.2
2017-02-01,8676.31,4985.35,3690.96
2017-03-01,8221.1,4744.88,3476.22
2017-04-01,8242.73,4771.12,3471.6
2017-05-01,8216.04,4773.69,3442.35
2017-06-01,8330.65,4968.3,3362.35
2017-07-01,8291.16,4956.61,3334.55
2017-08-01,8322.29,4980.17,3342.12
2017-09-01,8489.97,5043.89,3446.09
2017-10-01,8630.58,4990.54,3640.04
2017-11-01,8553.32,5046.39,3506.93
2017-12-01,8889.16,5132.4,3756.76
2018-01-01,8874.19,5202.17,3672.03
2018-02-01,8892.15,5150.98,3741.17
2018-03-01,8926.41,5281.24,3645.17
2018-04-01,9023.5,5265.68,3757.83
2018-05-01,9157.48,5204.53,3952.95
2018-06-01,9195.77,5295.42,3900.35
2018-07-01,8899.29,5200.07,3699.22
