"Periodo","PIB"
2000-01-01,6720563.5
2000-04-01,6958395
2000-07-01,7166931.1
2000-10-01,7220526.2
2001-01-01,7320286.3
2001-04-01,7459750.4
2001-07-01,7502163.6
2001-10-01,7466230.3
2002-01-01,7309444.3
2002-04-01,7941410
2002-07-01,7971586
2002-10-01,8088591.6
2003-01-01,8093632
2003-04-01,8253853.5
2003-07-01,8210313.4
2003-10-01,8480333.7
2004-01-01,8730792.1
2004-04-01,9281990
2004-07-01,9311925
2004-10-01,9668852
2005-01-01,9450080.7
2005-04-01,10060019.3
2005-07-01,10062099.2
2005-10-01,10426196.7
2006-01-01,10550621.1
2006-04-01,11227577.6
2006-07-01,11246326.3
2006-10-01,11455938
2007-01-01,11430812
2007-04-01,12021863
2007-07-01,12129428.1
2007-10-01,12604909.4
2008-01-01,12297911.3
2008-04-01,13254081.5
2008-07-01,13139867.1
2008-10-01,13019185.3
2009-01-01,12170951.1
2009-04-01,12466924.4
2009-07-01,12891111.4
2009-10-01,13467484.9
2010-01-01,13359849.4
2010-04-01,13848983.5
2010-07-01,14044018
2010-10-01,14619747.2
2011-01-01,14490555.7
2011-04-01,14923548
2011-07-01,15341144.5
2011-10-01,16318498.6
2012-01-01,16103739.8
2012-04-01,16384468
2012-07-01,16581027.1
2012-10-01,17047261.2
2013-01-01,16420163.8
2013-04-01,16844478.9
2013-07-01,16981720.9
2013-10-01,17569659.2
2014-01-01,17404245.4
2014-04-01,18042240.9
2014-07-01,18219506.3
2014-10-01,18884609.8
2015-01-01,18389553.3
2015-04-01,19087521.4
2015-07-01,19467455.9
2015-10-01,19969928.2
2016-01-01,19541660.7
2016-04-01,20557129.3
2016-07-01,20921915.1
2016-10-01,22014457
2017-01-01,21923248.2
2017-04-01,22351051
2017-07-01,22424377.4
2017-10-01,23446164.5
2018-01-01,23181522.3
2018-04-01,24136811.3
2018-07-01,24262574.2
2018-10-01,25125773.7
2019-01-01,24545636
2019-04-01,25036666.6
2019-07-01,25182899.5
2019-10-01,25722091.1
2020-01-01,25328843.3
2020-04-01,20798371.7
2020-07-01,24267733.8
2020-10-01,25952083.8
2021-01-01,25665276.3
2021-04-01,26638285.6
2021-07-01,26611847
2021-10-01,27844724.6
2022-01-01,27941240.9
2022-04-01,29427918.7
2022-07-01,29747444.5
2022-10-01,30985430.4
2023-01-01,30515673.6
2023-04-01,31647453.8
2023-07-01,32106302.9
2023-10-01,33214924.1
2024-01-01,32017618.9
2024-04-01,33586135.3
2024-07-01,33897302.4
2024-10-01,34830540.4
2025-01-01,34303347.3
2025-04-01,35299381.4
2025-07-01,35221990
2025-10-01,36381621.8
2026-01-01,35455860.9
