"Periodo","Total","Sector_Bancario","Residentes_Extranjero","Residentes_Pais","Siefores","Sociedades_Inversion","Reportos_Banxico","Garantias_Banxico","Aseguradoras","Otros_Residentes_Pais","Valores_Adquiridos_Banxico"
2000-01-03,549657.44,34216.93,10662.86,538994.58,85412.6,NA,0,NA,NA,419365.04,NA
2000-01-04,550086.22,32595.43,10678.47,539407.75,85446.58,NA,0,NA,NA,421365.73,NA
2000-01-05,550515.01,30738.88,10866.04,539648.96,85036.61,NA,0,NA,NA,423873.46,NA
2000-01-06,552771.65,32097.13,10518.86,542252.79,85148.66,NA,0,NA,NA,425006.98,NA
2000-01-07,553200.04,31618.04,10980.59,542219.45,85226.27,NA,0,NA,NA,425375.12,NA
2000-01-10,553677.17,30674.77,10956.82,542720.34,85096.41,NA,0,NA,NA,426949.15,NA
2000-01-11,554112.43,30878.87,10946.04,543166.39,85137.45,NA,0,NA,NA,427150.06,NA
2000-01-12,554547.56,37106.54,10765.38,543782.18,85165.09,NA,0,NA,NA,421510.54,NA
2000-01-13,552323.11,41067.09,10242.37,542080.73,85416.66,NA,0,NA,NA,415596.97,NA
2000-01-14,552760.88,37371.64,10635.36,542125.52,85658.7,NA,0,NA,NA,419095.17,NA
2000-01-17,553265.78,39197.77,10636.86,542628.92,85704.14,NA,0,NA,NA,417726.99,NA
2000-01-18,553700.77,40234.31,10685.52,543015.25,85742.49,NA,0,NA,NA,417038.44,NA
2000-01-19,554137.9,41317.9,10489.17,543648.72,85605.38,NA,0,NA,NA,416725.43,NA
2000-01-20,556100.09,40568.58,10307.31,545792.77,86680.33,NA,0,NA,NA,418543.85,NA
2000-01-21,556538.48,40083.45,10814.84,545723.64,86838.9,NA,0,NA,NA,418801.28,NA
2000-01-24,557044.79,40079.76,10460.11,546584.68,86731.35,NA,0,NA,NA,419773.55,NA
2000-01-25,557482.64,41359.61,10574.78,546907.85,86721.64,NA,0,NA,NA,418826.6,NA
2000-01-26,557923.49,41203.88,10551.5,547371.99,88452.51,NA,0,NA,NA,417715.59,NA
2000-01-27,567778.03,46832.12,10758.22,557019.81,88892.47,NA,0,NA,NA,421295.22,NA
2000-01-28,568218.48,48668.91,10533.52,557684.96,88892.03,NA,0,NA,NA,420124,NA
2000-01-31,568732.83,47045.25,10357.22,558375.61,88967.41,NA,0,NA,NA,422362.94,NA
2000-02-01,569172.59,48676.11,10472.88,558699.71,90221.04,NA,0,NA,NA,419802.56,NA
2000-02-02,569612.31,40744.17,10904.71,558707.59,90247.05,NA,0,NA,NA,427716.35,NA
2000-02-03,571184.81,38435.01,10953.57,560231.24,90571.2,NA,0,NA,NA,431225.01,NA
