"Fecha","Instrumento","Tenor","Plazo","Monto","Tasa","Precio_Ponderado"
2000-01-06,"Bondes","3 anos",1070,3000,0.81,NA
2000-01-06,"Cetes","28 dias",28,3000,16.41,NA
2000-01-06,"Cetes","91 dias",91,4100,17.71,NA
2000-01-06,"Udibono","5 anos",1666,150,6.64,NA
2000-01-06,"Udibono","10 anos",3556,150,6.58,NA
2000-01-13,"Bondes","3 anos",1063,1300,0.6,NA
2000-01-13,"Cetes","91 dias",91,4100,16.98,NA
2000-01-13,"Cetes","182 dias",196,2800,17.65,NA
2000-01-13,"Cetes","28 dias",28,3000,15.62,NA
2000-01-20,"Bondes","3 anos",1092,1300,0.66,NA
2000-01-20,"Cetes","28 dias",28,3000,15.98,NA
2000-01-20,"Cetes","91 dias",90,4100,17.33,NA
2000-01-27,"Bondes","3 anos",1085,1000,0.65,NA
2000-01-27,"Bono M","3 anos",1092,1000,17.7,NA
2000-01-27,"Cetes","364 dias",364,4500,18.82,NA
2000-01-27,"Cetes","91 dias",91,4100,17.71,NA
2000-01-27,"Cetes","28 dias",28,3000,16.76,NA
2000-01-27,"Cetes","182 dias",182,2800,18.19,NA
2000-02-03,"Bondes","3 anos",1078,1000,0.68,NA
2000-02-03,"Cetes","28 dias",28,3000,17,NA
2000-02-03,"Cetes","91 dias",91,4100,17.19,NA
2000-02-10,"Bondes","3 anos",1071,1000,0.5,NA
2000-02-10,"Cetes","182 dias",168,2800,16.73,NA
2000-02-10,"Cetes","91 dias",91,4100,16.44,NA
2000-02-10,"Cetes","28 dias",28,3000,15.69,NA
2000-02-17,"Bondes","3 anos",1092,1000,0.49,NA
2000-02-17,"Cetes","91 dias",91,4100,16.02,NA
2000-02-17,"Cetes","28 dias",28,3000,15.24,NA
2000-02-17,"Udibono","5 anos",1820,600,6.23,NA
2000-02-17,"Udibono","10 anos",3514,600,6.04,NA
2000-02-24,"Bondes","3 anos",1085,1000,0.54,NA
2000-02-24,"Bono M","3 anos",1064,1200,15.95,NA
2000-02-24,"Cetes","364 dias",364,4700,17.27,NA
2000-02-24,"Cetes","182 dias",182,2800,16.43,NA
2000-02-24,"Cetes","91 dias",91,4100,16.09,NA
2000-02-24,"Cetes","28 dias",28,3000,15.29,NA
2000-03-02,"Bondes","3 anos",1078,1000,0.69,NA
2000-03-02,"Cetes","91 dias",91,4100,15.52,NA
2000-03-02,"Cetes","28 dias",28,3000,14.96,NA
2000-03-09,"Bondes","3 anos",1071,1000,0.55,NA
2000-03-09,"Cetes","182 dias",168,3000,15.21,NA
2000-03-09,"Cetes","28 dias",28,3000,13.95,NA
2000-03-09,"Cetes","91 dias",91,4100,14.29,NA
2000-03-16,"Bondes","3 anos",1092,1000,0.6,NA
2000-03-16,"Cetes","28 dias",28,3000,13.31,NA
2000-03-16,"Cetes","91 dias",91,4100,14.14,NA
2000-03-23,"Bondes","3 anos",1085,800,0.58,NA
2000-03-23,"Bono M","3 anos",1036,1200,14.94,NA
2000-03-23,"Cetes","364 dias",364,5000,15.89,NA
2000-03-23,"Cetes","182 dias",182,3000,14.97,NA
2000-03-23,"Cetes","91 dias",91,4100,14.31,NA
2000-03-23,"Cetes","28 dias",27,3000,13.21,NA
2000-03-30,"Bondes","3 anos",1078,800,0.55,NA
2000-03-30,"Cetes","28 dias",28,3000,12.88,NA
2000-03-30,"Cetes","91 dias",91,4100,14.02,NA
2000-03-30,"Udibono","5 anos",1778,650,6.01,NA
2000-03-30,"Udibono","10 anos",3472,650,5.91,NA
2000-04-06,"Cetes","91 dias",91,4100,14.13,NA
2000-04-06,"Cetes","182 dias",168,3000,14.97,NA
2000-04-06,"Cetes","28 dias",28,3000,12.92,NA
2000-04-13,"Cetes","91 dias",91,4100,13.97,NA
2000-04-13,"Cetes","28 dias",28,3000,12.76,NA
2000-04-19,"Bondes","5 anos",1821,800,1.02,NA
2000-04-19,"Bono M","3 anos",1009,1200,15.95,NA
2000-04-19,"Cetes","364 dias",365,5000,17.04,NA
2000-04-19,"Cetes","91 dias",92,4100,15,NA
2000-04-19,"Cetes","182 dias",183,3000,15.97,NA
2000-04-19,"Cetes","28 dias",29,3000,13.26,NA
2000-04-27,"Cetes","91 dias",91,4100,14.38,NA
2000-04-27,"Cetes","28 dias",28,3000,12.77,NA
2000-05-04,"Bondes","5 anos",1806,800,0.84,NA
2000-05-04,"Cetes","28 dias",28,3000,12.84,NA
2000-05-04,"Cetes","91 dias",91,4100,14.37,NA
2000-05-04,"Cetes","182 dias",181,2000,15.76,NA
2000-05-11,"Cetes","28 dias",28,3000,14.54,NA
2000-05-11,"Cetes","91 dias",91,4100,16.06,NA
2000-05-11,"Udibono","5 anos",1736,600,7.48,NA
2000-05-11,"Udibono","10 anos",3430,600,7.52,NA
2000-05-18,"Bondes","5 anos",1792,800,0.94,NA
2000-05-18,"Bono M","3 anos",980,1000,16.9,NA
2000-05-18,"Cetes","182 dias",182,2600,16.66,NA
2000-05-18,"Cetes","91 dias",91,4100,15.9,NA
2000-05-18,"Cetes","364 dias",364,4400,17.61,NA
2000-05-18,"Cetes","28 dias",28,3600,13.98,NA
2000-05-25,"Bono M","5 anos",1813,1500,17.4,NA
2000-05-25,"Cetes","28 dias",28,3600,15.36,NA
2000-05-25,"Cetes","91 dias",91,4100,16,NA
2000-06-01,"Bondes","5 anos",1778,600,0.91,NA
2000-06-01,"Cetes","182 dias",168,2600,16.89,NA
2000-06-01,"Cetes","28 dias",28,3600,15.45,NA
2000-06-01,"Cetes","91 dias",91,4100,15.79,NA
2000-06-08,"Cetes","28 dias",28,3600,14.7,NA
2000-06-08,"Cetes","91 dias",91,4100,15.77,NA
2000-06-15,"Bondes","5 anos",1764,600,0.88,NA
2000-06-15,"Bono M","3 anos",952,1000,16.1,NA
2000-06-15,"Cetes","182 dias",182,2600,16.92,NA
2000-06-15,"Cetes","28 dias",28,3600,15.34,NA
2000-06-15,"Cetes","364 dias",364,4400,16.88,NA
2000-06-15,"Cetes","91 dias",91,4100,16.48,NA
2000-06-22,"Cetes","91 dias",91,4100,16.96,NA
2000-06-22,"Cetes","28 dias",28,3600,15.76,NA
2000-06-22,"Udibono","5 anos",1694,600,8.1,NA
2000-06-22,"Udibono","10 anos",3388,600,7.64,NA
2000-06-29,"Bondes","5 anos",1750,600,0.9,NA
2000-06-29,"Cetes","182 dias",168,2600,17.86,NA
2000-06-29,"Cetes","91 dias",91,4100,18.07,NA
2000-06-29,"Cetes","28 dias",28,3600,17.01,NA
2000-07-06,"Cetes","28 dias",28,4500,14.3,NA
2000-07-06,"Cetes","91 dias",91,5000,14.72,NA
2000-07-13,"Bondes","5 anos",1736,1000,0.73,NA
2000-07-13,"Bono M","3 anos",924,2000,14.95,NA
2000-07-13,"Cetes","91 dias",91,5000,14.3,NA
2000-07-13,"Cetes","28 dias",28,4500,13.35,NA
2000-07-13,"Cetes","182 dias",154,3200,15.03,NA
2000-07-13,"Cetes","364 dias",364,5000,15.84,NA
2000-07-20,"Cetes","28 dias",28,4500,13.71,NA
2000-07-20,"Cetes","91 dias",91,5000,14.8,NA
2000-07-27,"Bondes","5 anos",1820,1400,0.75,NA
2000-07-27,"Cetes","182 dias",182,2800,15.43,NA
2000-07-27,"Cetes","91 dias",91,5000,14.67,NA
2000-07-27,"Cetes","28 dias",28,4500,13.55,NA
2000-08-03,"Cetes","91 dias",90,5000,15.65,NA
2000-08-03,"Cetes","28 dias",28,4500,14.81,NA
2000-08-03,"Udibono","5 anos",1652,100,7.04,NA
2000-08-03,"Udibono","10 anos",3346,150,6.81,NA
2000-08-10,"Bondes","5 anos",1806,1500,0.8,NA
2000-08-10,"Bono M","3 anos",896,2000,15.7,NA
2000-08-10,"Cetes","364 dias",364,4400,16.95,NA
2000-08-10,"Cetes","28 dias",28,4500,15.22,NA
2000-08-10,"Cetes","91 dias",91,5000,15.83,NA
2000-08-10,"Cetes","182 dias",168,2800,16.73,NA
2000-08-17,"Bono M","5 anos",1729,2000,14.85,NA
2000-08-17,"Cetes","28 dias",28,4500,15.65,NA
2000-08-17,"Cetes","91 dias",91,5000,15.69,NA
2000-08-24,"Bondes","5 anos",1792,1700,0.87,NA
2000-08-24,"Cetes","91 dias",91,5000,15.79,NA
2000-08-24,"Cetes","182 dias",182,2800,16.14,NA
2000-08-24,"Cetes","28 dias",28,4500,15.46,NA
2000-08-31,"Cetes","91 dias",91,5000,15.58,NA
2000-08-31,"Cetes","28 dias",28,4500,15.01,NA
2000-09-07,"Bondes","5 anos",1778,1700,0.91,NA
2000-09-07,"Bono M","3 anos",868,2000,15.15,NA
2000-09-07,"Cetes","182 dias",168,2800,15.92,NA
2000-09-07,"Cetes","28 dias",28,4500,14.63,NA
2000-09-07,"Cetes","91 dias",91,5000,15.52,NA
2000-09-07,"Cetes","364 dias",364,4400,16.11,NA
2000-09-14,"Cetes","28 dias",28,4500,15.01,NA
2000-09-14,"Cetes","91 dias",91,5000,16.02,NA
2000-09-14,"Udibono","10 anos",3304,150,6.48,NA
2000-09-14,"Udibono","5 anos",1610,100,7.03,NA
2000-09-21,"Bondes","5 anos",1764,1700,1.08,NA
2000-09-21,"Cetes","182 dias",182,2800,17.37,NA
2000-09-21,"Cetes","28 dias",28,4500,15.5,NA
2000-09-21,"Cetes","91 dias",91,5000,16.76,NA
2000-09-28,"Bono M","5 anos",1687,2000,15.15,NA
2000-09-28,"Cetes","91 dias",91,5000,16.31,NA
2000-09-28,"Cetes","28 dias",28,4500,15.1,NA
2000-10-05,"Bondes","5 anos",1750,1500,0.99,NA
2000-10-05,"Bondes","3 anos",861,1000,0.96,NA
2000-10-05,"Bono M","3 anos",840,2500,15.69,NA
2000-10-05,"Cetes","28 dias",27,4500,15.22,NA
2000-10-05,"Cetes","182 dias",168,2800,16.86,NA
2000-10-05,"Cetes","91 dias",91,5000,16.47,NA
2000-10-05,"Cetes","364 dias",364,4000,16.66,NA
2000-10-12,"Cetes","91 dias",91,5000,16.34,NA
2000-10-12,"Cetes","28 dias",28,4500,15.2,NA
2000-10-19,"Bondes","5 anos",1820,1700,1.16,NA
2000-10-19,"Cetes","182 dias",182,2800,17.47,NA
2000-10-19,"Cetes","28 dias",28,4500,16.21,NA
2000-10-19,"Cetes","91 dias",91,5000,17.69,NA
2000-10-26,"Bono M","5 anos",1659,1500,15.44,NA
2000-10-26,"Cetes","28 dias",28,4500,16.87,NA
2000-10-26,"Cetes","91 dias",91,5000,17.75,NA
2000-10-26,"Udibono","10 anos",3262,250,6.91,NA
2000-11-01,"Bondes","3 anos",1093,1000,0.97,NA
2000-11-01,"Bondes","5 anos",1807,1500,1.07,NA
2000-11-01,"Bono M","3 anos",1177,2000,15.55,NA
2000-11-01,"Cetes","364 dias",337,3500,17.29,NA
2000-11-01,"Cetes","182 dias",169,2600,17.77,NA
2000-11-01,"Cetes","28 dias",29,4500,17.12,NA
2000-11-01,"Cetes","91 dias",92,5000,17.87,NA
2000-11-09,"Cetes","91 dias",91,5000,18.08,NA
2000-11-09,"Cetes","28 dias",28,4500,17.32,NA
2000-11-16,"Bondes","3 anos",1078,1000,0.9,NA
2000-11-16,"Bondes","5 anos",1792,1500,1.03,NA
2000-11-16,"Cetes","182 dias",182,2600,17.22,NA
2000-11-16,"Cetes","28 dias",28,4500,17.47,NA
2000-11-16,"Cetes","91 dias",91,5000,17.81,NA
2000-11-23,"Bono M","5 anos",1631,1500,14.74,NA
2000-11-23,"Cetes","28 dias",28,4500,17.8,NA
2000-11-23,"Cetes","91 dias",91,5000,18.09,NA
2000-11-30,"Bondes","5 anos",1778,1500,0.95,NA
2000-11-30,"Bondes","3 anos",1064,1000,0.85,NA
2000-11-30,"Bono M","3 anos",1148,2000,15.2,NA
2000-11-30,"Cetes","91 dias",91,5000,18.18,NA
2000-11-30,"Cetes","182 dias",168,2600,17.21,NA
2000-11-30,"Cetes","364 dias",364,3500,16.83,NA
2000-11-30,"Cetes","28 dias",28,4500,18.08,NA
2000-12-07,"Cetes","91 dias",91,5000,17.34,NA
2000-12-07,"Cetes","28 dias",28,4500,17.26,NA
2000-12-07,"Udibono","10 anos",3220,200,6.78,NA
2000-12-14,"Bondes","3 anos",1050,1000,0.84,NA
2000-12-14,"Bondes","5 anos",1764,1500,0.86,NA
2000-12-14,"Cetes","91 dias",91,5000,17.17,NA
2000-12-14,"Cetes","182 dias",182,2600,16.89,NA
2000-12-14,"Cetes","28 dias",28,4500,16.7,NA
2000-12-21,"Bono M","5 anos",1603,1500,14.63,NA
2000-12-21,"Cetes","91 dias",91,5000,17.13,NA
2000-12-21,"Cetes","28 dias",28,4500,16.65,NA
2000-12-28,"Bondes","3 anos",1091,1000,0.8,NA
2000-12-28,"Bondes","5 anos",1750,1500,0.99,NA
2000-12-28,"Bono M","3 anos",1120,2000,15.3,NA
2000-12-28,"Cetes","364 dias",336,1000,17.01,NA
2000-12-28,"Cetes","28 dias",28,4500,17.59,NA
2000-12-28,"Cetes","182 dias",168,3500,17.26,NA
2000-12-28,"Cetes","91 dias",91,5000,18.01,NA
2001-01-04,"Cetes","28 dias",28,4500,17.86,NA
2001-01-04,"Cetes","91 dias",91,5000,18.46,NA
2001-01-11,"Bondes","5 anos",1820,2200,1.12,NA
2001-01-11,"Cetes","182 dias",182,3300,17.09,NA
2001-01-11,"Cetes","28 dias",28,4500,17.07,NA
2001-01-11,"Cetes","91 dias",90,5000,17.55,NA
2001-01-18,"Bondes","3 anos",1070,3600,1.1,NA
2001-01-18,"Bono M","5 anos",1575,2200,16.2,NA
2001-01-18,"Cetes","91 dias",91,5200,19.28,NA
2001-01-18,"Cetes","28 dias",28,4500,18.39,NA
2001-01-18,"Udibono","10 anos",3640,300,7.47,NA
2001-01-25,"Bondes","5 anos",1806,2200,1.19,NA
2001-01-25,"Cetes","364 dias",364,4500,17.89,NA
2001-01-25,"Cetes","182 dias",168,3300,17.99,NA
2001-01-25,"Cetes","28 dias",28,4500,18.22,NA
2001-01-25,"Cetes","91 dias",91,5200,18.69,NA
2001-02-01,"Bondes","3 anos",1056,3600,0.96,NA
2001-02-01,"Bono M","3 anos",1085,2600,15.95,NA
2001-02-01,"Cetes","28 dias",28,4500,17.82,NA
2001-02-01,"Cetes","91 dias",91,5200,18.23,NA
2001-02-08,"Bondes","5 anos",1792,2200,1.12,NA
2001-02-08,"Cetes","28 dias",28,4500,18.01,NA
2001-02-08,"Cetes","182 dias",182,3300,18.13,NA
2001-02-08,"Cetes","91 dias",91,5200,18.31,NA
2001-02-15,"Bondes","3 anos",1042,3600,0.87,NA
2001-02-15,"Bono M","5 anos",1547,2200,15.57,NA
2001-02-15,"Cetes","28 dias",28,4500,16.71,NA
2001-02-15,"Cetes","91 dias",91,5200,17.97,NA
2001-02-22,"Bondes","5 anos",1778,2200,0.99,NA
2001-02-22,"Cetes","364 dias",336,4500,17.93,NA
2001-02-22,"Cetes","182 dias",168,3300,17.91,NA
2001-02-22,"Cetes","91 dias",91,5200,17.77,NA
2001-02-22,"Cetes","28 dias",28,4500,16.83,NA
2001-03-01,"Bondes","3 anos",1085,3600,0.75,NA
2001-03-01,"Bono M","3 anos",1057,2600,15.38,NA
2001-03-01,"Cetes","91 dias",91,5200,16.55,NA
2001-03-01,"Cetes","28 dias",28,4500,15.69,NA
2001-03-01,"Udibono","10 anos",3598,300,7.68,NA
2001-03-08,"Bondes","5 anos",1764,2200,0.89,NA
2001-03-08,"Cetes","91 dias",91,5200,16.5,NA
2001-03-08,"Cetes","28 dias",28,4500,15.89,NA
2001-03-08,"Cetes","182 dias",182,3300,17.04,NA
2001-03-15,"Bondes","3 anos",1071,3600,0.84,NA
2001-03-15,"Bono M","5 anos",1813,2200,14.48,NA
2001-03-15,"Cetes","91 dias",91,5200,16.51,NA
2001-03-15,"Cetes","28 dias",27,4500,15.92,NA
2001-03-22,"Bondes","5 anos",1750,2200,0.94,NA
2001-03-22,"Cetes","182 dias",168,3300,16.82,NA
2001-03-22,"Cetes","28 dias",28,4500,16.06,NA
2001-03-22,"Cetes","364 dias",363,4500,16.68,NA
2001-03-22,"Cetes","91 dias",91,5200,16.63,NA
2001-03-29,"Bondes","3 anos",1057,3600,0.78,NA
2001-03-29,"Bono M","3 anos",1029,2600,15.19,NA
2001-03-29,"Cetes","28 dias",28,4500,15.43,NA
2001-03-29,"Cetes","91 dias",91,5200,16.14,NA
2001-04-05,"Bondes","5 anos",1820,2300,0.79,NA
2001-04-05,"Cetes","91 dias",91,5200,15.8,NA
2001-04-05,"Cetes","28 dias",28,4500,15.38,NA
2001-04-05,"Cetes","182 dias",182,3300,16.14,NA
2001-04-11,"Bondes","3 anos",1044,3800,0.63,NA
2001-04-11,"Bono M","5 anos",1786,2400,13.67,NA
2001-04-11,"Cetes","91 dias",92,5200,15.54,NA
2001-04-11,"Cetes","28 dias",29,4500,15.48,NA
2001-04-11,"Udibono","10 anos",3557,300,7.26,NA
2001-04-19,"Bondes","5 anos",1806,2300,0.65,NA
2001-04-19,"Cetes","182 dias",182,3300,15.68,NA
2001-04-19,"Cetes","364 dias",335,4600,15.43,NA
2001-04-19,"Cetes","91 dias",91,5200,15.48,NA
2001-04-19,"Cetes","28 dias",28,4500,15.06,NA
2001-04-26,"Bondes","3 anos",1029,3800,0.58,NA
2001-04-26,"Bono M","3 anos",1225,2800,14.07,NA
2001-04-26,"Cetes","28 dias",28,4500,13.92,NA
2001-04-26,"Cetes","91 dias",91,5200,14.79,NA
2001-05-03,"Bondes","5 anos",1792,2300,0.56,NA
2001-05-03,"Cetes","91 dias",91,5200,13.92,NA
2001-05-03,"Cetes","182 dias",182,3300,14.59,NA
2001-05-03,"Cetes","28 dias",28,4500,13.25,NA
2001-05-10,"Bondes","3 anos",1085,3800,0.58,NA
2001-05-10,"Bono M","5 anos",1757,2400,13.2,NA
2001-05-10,"Cetes","91 dias",91,5200,13.52,NA
2001-05-10,"Cetes","28 dias",28,4500,12.94,NA
2001-05-17,"Bondes","5 anos",1778,2300,0.56,NA
2001-05-17,"Cetes","364 dias",364,4600,14.24,NA
2001-05-17,"Cetes","28 dias",28,4500,12.61,NA
2001-05-17,"Cetes","182 dias",168,3300,13.83,NA
2001-05-17,"Cetes","91 dias",91,5200,13.31,NA
2001-05-24,"Bondes","3 anos",1071,3800,0.47,NA
2001-05-24,"Bono M","3 anos",1197,2800,12.5,NA
2001-05-24,"Cetes","28 dias",28,4500,10.21,NA
2001-05-24,"Cetes","91 dias",91,5200,10.92,NA
2001-05-24,"Udibono","10 anos",3514,300,6.34,NA
2001-05-31,"Bondes","5 anos",1764,2300,0.44,NA
2001-05-31,"Cetes","28 dias",28,4500,10.76,NA
2001-05-31,"Cetes","182 dias",182,3300,12.19,NA
2001-05-31,"Cetes","91 dias",91,5200,11.39,NA
2001-06-07,"Bondes","3 anos",1057,3800,0.52,NA
2001-06-07,"Bono M","5 anos",1729,2400,12.62,NA
2001-06-07,"Cetes","91 dias",91,5200,11.33,NA
2001-06-07,"Cetes","28 dias",28,4500,10.39,NA
2001-06-14,"Bondes","5 anos",1750,2300,0.41,NA
2001-06-14,"Cetes","28 dias",28,4500,9.51,NA
2001-06-14,"Cetes","364 dias",336,4600,11.94,NA
2001-06-14,"Cetes","182 dias",168,3300,10.95,NA
2001-06-14,"Cetes","91 dias",91,5200,10.12,NA
2001-06-21,"Bondes","3 anos",1043,3800,0.47,NA
2001-06-21,"Bono M","3 anos",1169,2800,12.01,NA
2001-06-21,"Cetes","28 dias",28,4500,8.91,NA
2001-06-21,"Cetes","91 dias",91,5200,9.74,NA
2001-06-28,"Bondes","5 anos",1820,2300,0.42,NA
2001-06-28,"Cetes","91 dias",91,5200,9.9,NA
2001-06-28,"Cetes","182 dias",182,3300,11.1,NA
2001-06-28,"Cetes","28 dias",28,4500,8.92,NA
2001-07-05,"Bondes","3 anos",1085,3800,0.61,NA
2001-07-05,"Bono M","5 anos",1701,2300,12.07,NA
2001-07-05,"Cetes","28 dias",28,4500,8.99,NA
2001-07-05,"Cetes","91 dias",91,5200,9.66,NA
2001-07-05,"Udibono","10 anos",3472,300,6.05,NA
2001-07-12,"Bondes","5 anos",1806,2300,0.54,NA
2001-07-12,"Cetes","91 dias",91,5200,10.34,NA
2001-07-12,"Cetes","182 dias",182,3300,11.75,NA
2001-07-12,"Cetes","28 dias",28,4500,9.42,NA
2001-07-12,"Cetes","364 dias",364,4600,12.82,NA
2001-07-19,"Bondes","3 anos",1071,3800,0.82,NA
2001-07-19,"Bono M","3 anos",1141,2600,13.25,NA
2001-07-19,"Cetes","91 dias",91,5200,10.8,NA
2001-07-19,"Cetes","28 dias",28,4500,9.73,NA
2001-07-26,"Bondes","5 anos",1792,2300,0.6,NA
2001-07-26,"Bono M","10 anos",3640,1000,10.9,NA
2001-07-26,"Cetes","28 dias",28,4500,9.4,NA
2001-07-26,"Cetes","182 dias",182,3300,11.39,NA
2001-07-26,"Cetes","91 dias",91,5200,10.18,NA
2001-08-02,"Bondes","3 anos",1057,3500,0.53,NA
2001-08-02,"Bono M","5 anos",1673,2300,12.22,NA
2001-08-02,"Cetes","28 dias",28,4500,8.34,NA
2001-08-02,"Cetes","91 dias",91,5200,9.03,NA
2001-08-09,"Bondes","5 anos",1778,2600,0.48,NA
2001-08-09,"Cetes","364 dias",336,4600,11.44,NA
2001-08-09,"Cetes","182 dias",168,3300,9.97,NA
2001-08-09,"Cetes","28 dias",28,4500,7.24,NA
2001-08-09,"Cetes","91 dias",91,5200,8.54,NA
2001-08-16,"Bondes","3 anos",1043,3500,0.66,NA
2001-08-16,"Bono M","3 anos",1113,2600,12.39,NA
