"Ano_Fiscal","Gross","Domestic","Foreign"
"1978/79",16295,15484,811
"1979/80",18151,17421,730
"1980/81",19853,19223,630
"1981/82",21939,20821,1118
"1982/83",25529,24300,1229
"1983/84",29518,28077,1441
"1984/85",35039,32838,2201
"1985/86",39485,37190,2295
"1986/87",46845,44399,2446
"1987/88",57502,55060,2442
"1988/89",68737,66510,2227
"1989/90",81896,79806,2090
"1990/91",95305,93535,1770
"1991/92",114106,111166,2940
"1992/93",145732,143384,2348
"1993/94",189971,184770,5201
"1994/95",240151,231367,8784
"1995/96",279488,268544,10944
"1996/97",308239,296845,11394
"1997/98",336111,321551,14560
"1998/99",363227,346951,16276
"1999/00",381503,355704,25799
"2000/01",399551,367613,31938
"2001/02",433454,351445,82009
"2002/03",427066,352780,74286
"2003/04",454969,390299,64670
"2004/05",501496,432091,69405
"2005/06",528325,461479,66846
"2006/07",553683,471102,82581
"2007/08",577038,480820,96218
"2008/09",626975,529707,97268
"2009/10",804929,705475,99454
"2010/11",990572,892721,97851
"2011/12",1187790,1070939,116851
"2012/13",1365689,1241134,124555
"2013/14",1584758,1441099,143659
"2014/15",1798915,1632085,166830
"2015/16",2018971,1819364,199607
"2016/17",2232889,2020135,212754
"2017/18",2489718,2271907,217811
"2018/19",2788300,2496986,291314
"2019/20",3261342,2874117,387225
"2020/21",3935700,3543266,392434
"2021/22",4277463,3865359,412104
"2022/23",4765428.15128065,4209771.22728065,555656.924
"2023/24",5259399.71134542,4667776.44054721,591623.27079821
"2024/25",5693713.1216074,5091811.14999359,601901.971613812
"2025/26",6118672.51786361,5490312.1960002,628360.321863407
