"Anio","PIB"
1960,6249
1961,6590
1962,7010
1963,7753
1964,8540
1965,9335
1966,10151
1967,11301
1968,12232
1969,13755
1970,15156
1971,16744
1972,18846
1973,23083
1974,28123
1975,31730
1976,35783
1977,39416
1978,44876
1979,53080
1980,69637
1981,81739
1982,93276
1983,107181
1984,125207
1985,143659
1986,167618
1987,196550
1988,236388
1989,283395
1990,326127
1991,373340
1992,419121
1993,480994.4588
1994,545092.6321
1995,622900.8298
1996,701803.9132
1997,778644.467
1998,845733.3858
1999,925690.425
2000,1053138.0336
2001,1165940.5729
2002,1360679.2751
2003,1490399.0208
2004,1652434.0968
2005,1837001.3826
2006,2057593.9093
2007,2346649.8642
2008,2611630.8247
2009,2794228.4101
2010,3055613.2015
2011,3327047.0143
2012,3566385.0351
2013,3868630.2084
2014,4133873.0234
2015,4420792.5252
2016,4759554.5447
2017,5078189.9246
2018,5363190.4307
2019,5625206.5495
2020,5562760.3407
2021,6206842.0612
2022,6666580.9638
2023,7037674.4384
2024,7352449.4836
2025,7641793.1845
