"Ano_Fiscal","Start_Year","Nominal_ZAR","Fecha_Corte"
"2026/27",2026,87049919187,"30 April 2026"
"2027/28",2027,251494877484,"30 April 2026"
"2028/29",2028,132149519914,"30 April 2026"
"2029/30",2029,312168110031,"30 April 2026"
"2030/31",2030,357066350991,"30 April 2026"
"2031/32",2031,400417490951,"30 April 2026"
"2032/33",2032,225561959028,"30 April 2026"
"2033/34",2033,119264343481,"30 April 2026"
"2034/35",2034,369467745890,"30 April 2026"
"2035/36",2035,154639552145,"30 April 2026"
"2036/37",2036,362372746007,"30 April 2026"
"2037/38",2037,265256977329,"30 April 2026"
"2038/39",2038,26164233926,"30 April 2026"
"2039/40",2039,324152418489,"30 April 2026"
"2040/41",2040,98180856496,"30 April 2026"
"2041/42",2041,24993500543,"30 April 2026"
"2042/43",2042,123850683356,"30 April 2026"
"2043/44",2043,108164859621,"30 April 2026"
"2044/45",2044,108164859621,"30 April 2026"
"2045/46",2045,207892928211,"30 April 2026"
"2046/47",2046,154844493896,"30 April 2026"
"2047/48",2047,154844493896,"30 April 2026"
"2048/49",2048,154844493896,"30 April 2026"
"2049/50",2049,82117349165,"30 April 2026"
"2050/51",2050,82117349165,"30 April 2026"
"2051/52",2051,82117349165,"30 April 2026"
"2052/53",2052,111346180509,"30 April 2026"
"2057/58",2057,13680450741,"30 April 2026"
